City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Year,Month,Day,Season
Amaravati,2018-07-14,9.85,29.97,3.12,7.5,6.61,15.05,0.4,6.02,21.63,0.22,0.08,3.477354965585054,35.0,2018,7,14,Monsoon
Amaravati,2018-07-15,8.68,26.62,2.19,5.01,4.44,12.07,0.31,6.29,19.52,0.2,0.06,0.1,31.0,2018,7,15,Monsoon
Amaravati,2018-07-16,7.5,24.01,3.64,6.56,6.54,11.23,0.3,7.42,20.89,0.23,0.08,3.477354965585054,29.0,2018,7,16,Monsoon
Amaravati,2018-07-17,7.75,28.62,4.99,8.7,8.78,13.07,0.44,10.4,25.38,0.21,0.09,3.477354965585054,32.0,2018,7,17,Monsoon
Amaravati,2018-07-18,10.45,41.47,4.1,11.13,9.34,14.62,0.47,9.94,28.24,0.21,0.09,0.1,39.0,2018,7,18,Monsoon
Amaravati,2018-07-19,12.7,49.26,4.31,9.81,8.8,11.05,0.42,8.98,32.3,0.22,0.1,3.477354965585054,48.0,2018,7,19,Monsoon
Amaravati,2018-07-20,14.48,35.5,5.28,12.77,11.09,12.61,0.5,9.81,24.28,0.19,0.07,0.1,42.0,2018,7,20,Monsoon
Amaravati,2018-07-21,17.96,47.61,5.68,14.95,12.66,14.75,0.69,6.51,32.73,0.19,0.12,0.15,73.0,2018,7,21,Monsoon
Amaravati,2018-07-22,16.87,50.6,2.22,7.8,5.94,14.92,0.38,12.46,31.82,0.18,0.06,3.477354965585054,59.0,2018,7,22,Monsoon
Amaravati,2018-07-23,16.46,62.29,7.42,15.94,13.64,15.03,0.47,13.78,34.5,0.24,0.12,0.1,294.76488095238096,2018,7,23,Monsoon
Amaravati,2018-07-24,17.42,56.44,5.71,16.26,13.39,15.6,0.47,11.83,28.85,0.21,0.11,0.1,55.0,2018,7,24,Monsoon
Amaravati,2018-07-25,17.79,68.97,7.15,16.25,14.55,14.24,0.62,10.42,26.08,0.16,0.08,0.2,86.0,2018,7,25,Monsoon
Amaravati,2018-07-26,18.75,82.27,4.66,15.45,12.1,16.15,0.55,9.13,27.44,0.16,0.1,3.477354965585054,100.0,2018,7,26,Monsoon
Amaravati,2018-07-27,11.92,46.76,3.33,7.75,6.92,16.19,0.57,10.97,29.93,0.13,0.05,3.477354965585054,85.0,2018,7,27,Monsoon
Amaravati,2018-07-28,17.74,80.26,10.41,20.1,19.29,18.23,0.49,10.98,27.33,0.2,0.19,0.1,57.0,2018,7,28,Monsoon
Amaravati,2018-07-29,21.78,76.32,5.21,20.63,15.21,18.8,0.44,9.64,25.7,0.16,0.18,0.1,85.0,2018,7,29,Monsoon
Amaravati,2018-07-30,28.31,98.01,9.45,24.83,20.98,18.71,0.54,6.69,31.12,0.13,0.12,0.1,85.0,2018,7,30,Monsoon
Amaravati,2018-07-31,27.1,112.48,9.04,23.91,20.07,21.23,0.47,12.6,23.43,0.16,0.22,0.1,106.0,2018,7,31,Monsoon
Amaravati,2018-08-01,20.21,91.71,4.66,16.41,12.61,18.05,0.34,6.74,29.91,0.12,0.08,0.1,100.0,2018,8,1,Monsoon
Amaravati,2018-08-02,18.52,51.48,6.99,18.33,15.52,20.07,0.43,12.46,28.73,0.13,0.1,0.1,68.0,2018,8,2,Monsoon
Amaravati,2018-08-03,25.59,70.1,10.33,21.95,20.17,21.89,0.5,8.64,26.4,0.13,0.14,0.12,61.0,2018,8,3,Monsoon
Amaravati,2018-08-04,21.79,75.21,4.79,15.65,12.3,19.74,0.38,11.1,30.57,0.12,0.08,0.2,71.0,2018,8,4,Monsoon
Amaravati,2018-08-05,24.0,80.0,1.4,28.8,16.4,35.2,0.95,2.9,17.6,0.2,0.1,3.477354965585054,77.0,2018,8,5,Monsoon
Amaravati,2018-08-06,17.79,72.48,5.56,14.87,12.57,16.48,0.42,11.28,30.9,0.16,0.14,3.477354965585054,294.76488095238096,2018,8,6,Monsoon
Amaravati,2018-08-07,18.47,52.91,7.36,16.89,15.06,16.57,0.8,11.49,22.14,0.11,0.09,0.1,111.0,2018,8,7,Monsoon
